D:\Anaconda3\envs\pytorch-minist\python.exe D:/Projects/pytorch-minist/minist.py
using cuda...

Test set: Average loss: 2.3060, Accuracy: 1028/10000 (10.28%)
Train Epoch: 2 (68%)	Loss: 0.083176
Train Epoch: 2 (69%)	Loss: 0.075337
Train Epoch: 2 (70%)	Loss: 0.103923
Train Epoch: 2 (71%)	Loss: 0.053075
Train Epoch: 2 (72%)	Loss: 0.146409
Train Epoch: 2 (74%)	Loss: 0.019359
Train Epoch: 2 (75%)	Loss: 0.104255
Train Epoch: 2 (76%)	Loss: 0.223656
Train Epoch: 2 (77%)	Loss: 0.073629
Train Epoch: 2 (78%)	Loss: 0.229836
Train Epoch: 2 (79%)	Loss: 0.096249
Train Epoch: 2 (80%)	Loss: 0.209043
Train Epoch: 2 (81%)	Loss: 0.097637
Train Epoch: 2 (82%)	Loss: 0.038952
Train Epoch: 2 (83%)	Loss: 0.108676
Train Epoch: 2 (84%)	Loss: 0.011509
Train Epoch: 2 (85%)	Loss: 0.146692
Train Epoch: 2 (86%)	Loss: 0.083149
Train Epoch: 2 (87%)	Loss: 0.103798
Train Epoch: 2 (88%)	Loss: 0.026727
Train Epoch: 2 (90%)	Loss: 0.053625
Train Epoch: 2 (91%)	Loss: 0.020594
Train Epoch: 2 (92%)	Loss: 0.169286
Train Epoch: 2 (93%)	Loss: 0.061591
Train Epoch: 2 (94%)	Loss: 0.060569
Train Epoch: 2 (95%)	Loss: 0.029097
Train Epoch: 2 (96%)	Loss: 0.101274
Train Epoch: 2 (97%)	Loss: 0.033922
Train Epoch: 2 (98%)	Loss: 0.130198
Train Epoch: 2 (99%)	Loss: 0.070341

Test set: Average loss: 0.0621, Accuracy: 9811/10000 (98.11%)
Max accuracy: 98.11%

Train Epoch: 3 (0%)	Loss: 0.147739
Train Epoch: 3 (1%)	Loss: 0.022005
Train Epoch: 3 (2%)	Loss: 0.041318
Train Epoch: 3 (3%)	Loss: 0.025074
Train Epoch: 3 (4%)	Loss: 0.089303
Train Epoch: 3 (5%)	Loss: 0.020450
Train Epoch: 3 (6%)	Loss: 0.060728
Train Epoch: 3 (7%)	Loss: 0.043703
Train Epoch: 3 (9%)	Loss: 0.100468
Train Epoch: 3 (10%)	Loss: 0.043014
Train Epoch: 3 (11%)	Loss: 0.050682
Train Epoch: 3 (12%)	Loss: 0.038678
Train Epoch: 3 (13%)	Loss: 0.025736
Train Epoch: 3 (14%)	Loss: 0.045198
Train Epoch: 3 (15%)	Loss: 0.069848
Train Epoch: 3 (16%)	Loss: 0.065910
Train Epoch: 3 (17%)	Loss: 0.067193
Train Epoch: 3 (18%)	Loss: 0.074218
Train Epoch: 3 (19%)	Loss: 0.035276
Train Epoch: 3 (20%)	Loss: 0.136924
Train Epoch: 3 (21%)	Loss: 0.143571
Train Epoch: 3 (22%)	Loss: 0.112663
Train Epoch: 3 (23%)	Loss: 0.157665
Train Epoch: 3 (25%)	Loss: 0.143127
Train Epoch: 3 (26%)	Loss: 0.079896
Train Epoch: 3 (27%)	Loss: 0.018598
Train Epoch: 3 (28%)	Loss: 0.138198
Train Epoch: 3 (29%)	Loss: 0.168637
Train Epoch: 3 (30%)	Loss: 0.122103
Train Epoch: 3 (31%)	Loss: 0.052444
Train Epoch: 3 (32%)	Loss: 0.024384
Train Epoch: 3 (33%)	Loss: 0.043009
Train Epoch: 3 (34%)	Loss: 0.037602
Train Epoch: 3 (35%)	Loss: 0.040556
Train Epoch: 3 (36%)	Loss: 0.072938
Train Epoch: 3 (37%)	Loss: 0.060982
Train Epoch: 3 (38%)	Loss: 0.029967
Train Epoch: 3 (39%)	Loss: 0.054020
Train Epoch: 3 (41%)	Loss: 0.026897
Train Epoch: 3 (42%)	Loss: 0.082552
Train Epoch: 3 (43%)	Loss: 0.028625
Train Epoch: 3 (44%)	Loss: 0.023618
Train Epoch: 3 (45%)	Loss: 0.042343
Train Epoch: 3 (46%)	Loss: 0.042846
Train Epoch: 3 (47%)	Loss: 0.055247
Train Epoch: 3 (48%)	Loss: 0.147418
Train Epoch: 3 (49%)	Loss: 0.099070
Train Epoch: 3 (50%)	Loss: 0.022070
Train Epoch: 3 (51%)	Loss: 0.057056
Train Epoch: 3 (52%)	Loss: 0.040682
Train Epoch: 3 (53%)	Loss: 0.138932
Train Epoch: 3 (54%)	Loss: 0.029220
Train Epoch: 3 (55%)	Loss: 0.040505
Train Epoch: 3 (57%)	Loss: 0.049568
Train Epoch: 3 (58%)	Loss: 0.129245
Train Epoch: 3 (59%)	Loss: 0.042343
Train Epoch: 3 (60%)	Loss: 0.230722
Train Epoch: 3 (61%)	Loss: 0.029255
Train Epoch: 3 (62%)	Loss: 0.047254
Train Epoch: 3 (63%)	Loss: 0.175131
